distance,robot_vel,angle,rpm,cost
1.6695,2.2959,88.8897,2070.69,0.087262
1.7542,-4.5,45.0,3465.93,0.10124
1.7542,-4.3163,45.0,3389.67,0.09963
1.7542,-4.1327,45.3308,3324.57,0.098376
1.7542,-3.949,45.0,3244.73,0.096611
1.7542,-3.7653,45.0,3177.5,0.096064
1.7542,-3.5816,45.5514,3121.45,0.095342
1.7542,-3.398,45.1103,3052.7,0.09477
1.7542,-3.2143,46.1028,3004.62,0.094782
1.7542,-3.0306,47.0952,2957.0,0.094732
1.7542,-2.8469,48.0877,2909.79,0.094621
1.7542,-2.6633,49.1905,2864.79,0.094625
1.7542,-2.4796,50.2932,2820.29,0.094562
1.7542,-2.2959,51.396,2776.25,0.094432
1.7542,-2.1122,52.609,2734.7,0.094404
1.7542,-1.9286,53.7118,2691.52,0.09414
1.7542,-1.7449,55.0351,2653.19,0.094137
1.7542,-1.5612,57.6817,2645.61,0.093889
1.7542,-1.3776,59.005,2609.91,0.093693
1.7542,-1.1939,60.3283,2574.56,0.093427
1.7542,-1.0102,61.7619,2543.0,0.093258
1.7542,-0.8265,63.1955,2511.94,0.09302
1.7542,-0.6429,64.6291,2481.32,0.092714
1.7542,-0.4592,66.0627,2451.08,0.092343
1.7542,-0.2755,67.6065,2425.25,0.092075
1.7542,-0.0918,69.1504,2400.0,0.091746
1.7542,0.0918,70.6942,2375.29,0.09136
1.7542,0.2755,72.3484,2355.74,0.091094
1.7542,0.4592,74.0025,2337.05,0.090781
1.7542,0.6429,75.6566,2319.19,0.090426
1.7542,0.8265,77.3108,2302.14,0.090032
1.7542,1.0102,78.9649,2285.87,0.089602
1.7542,1.1939,80.7293,2276.46,0.089347
1.7542,1.3776,82.4937,2268.52,0.089082
1.7542,1.5612,84.1479,2255.18,0.088586
1.7542,1.7449,85.9123,2249.96,0.08831
1.7542,1.9286,87.6767,2246.48,0.088047
1.7542,2.1122,88.4486,2182.92,0.087819
1.7542,2.2959,87.6767,2070.92,0.091359
1.7542,2.4796,88.8897,2049.02,0.098202
1.839,-4.5,45.0,3500.35,0.10466
1.839,-4.3163,45.2206,3430.33,0.103111
1.839,-4.1327,45.0,3349.71,0.101226
1.839,-3.949,45.0,3278.98,0.100276
1.839,-3.7653,45.4411,3219.47,0.099359
1.839,-3.5816,45.0,3145.36,0.098234
1.839,-3.398,45.9925,3097.81,0.098285
1.839,-3.2143,45.5514,3030.64,0.097964
1.839,-3.0306,46.5439,2982.77,0.097952
1.839,-2.8469,47.5363,2935.38,0.097881
1.839,-2.6633,48.5288,2888.43,0.097752
1.839,-2.4796,49.6316,2843.6,0.097732
1.839,-2.2959,50.7343,2799.29,0.097648
1.839,-2.1122,51.8371,2755.47,0.0975
1.839,-1.9286,53.0501,2714.05,0.09745
1.839,-1.7449,54.2632,2673.21,0.097331
1.839,-1.5612,57.0201,2665.09,0.097092
1.839,-1.3776,58.3434,2629.17,0.096943
1.839,-1.1939,59.6667,2593.69,0.096724
1.839,-1.0102,60.99,2558.59,0.096439
1.839,-0.8265,62.4236,2527.2,0.096245
1.839,-0.6429,63.8571,2496.34,0.095986
1.839,-0.4592,65.2907,2465.93,0.095661
1.839,-0.2755,66.7243,2435.94,0.095274
1.839,-0.0918,68.2682,2410.26,0.094985
1.839,0.0918,69.812,2385.19,0.094639
